index,n_nerghbors,weight,p,leaf_size,cross_acc,test_acc
287,9,distance,1,32,0.5230210203519976,0.5727272727272728
288,9,distance,2,32,0.5116828683697234,0.5571428571428572
289,9,uniform,1,34,0.43940767172672146,0.4922077922077922
290,9,uniform,2,34,0.4372541513765963,0.4896103896103896
291,9,distance,1,34,0.5230210203519976,0.5727272727272728
292,9,distance,2,34,0.5116828683697234,0.5571428571428572
293,9,uniform,1,36,0.43940767172672146,0.4922077922077922
294,9,uniform,2,36,0.4372541513765963,0.4896103896103896
295,9,distance,1,36,0.5230210203519976,0.5727272727272728
296,9,distance,2,36,0.5116828683697234,0.5571428571428572
297,9,uniform,1,38,0.43940767172672146,0.4922077922077922
298,9,uniform,2,38,0.4372541513765963,0.4896103896103896
299,9,distance,1,38,0.5230210203519976,0.5727272727272728
300,9,distance,2,38,0.5116828683697234,0.5571428571428572
301,9,uniform,1,40,0.43940767172672146,0.4922077922077922
302,9,uniform,2,40,0.4372541513765963,0.4896103896103896
303,9,distance,1,40,0.5230210203519976,0.5727272727272728
304,9,distance,2,40,0.5116828683697234,0.5571428571428572
305,9,uniform,1,42,0.43940767172672146,0.4922077922077922
306,9,uniform,2,42,0.4372541513765963,0.4896103896103896
307,9,distance,1,42,0.5230210203519976,0.5727272727272728
308,9,distance,2,42,0.5116828683697234,0.5571428571428572
309,9,uniform,1,44,0.43940767172672146,0.4922077922077922
310,9,uniform,2,44,0.4372541513765963,0.4896103896103896
311,9,distance,1,44,0.5230210203519976,0.5727272727272728
312,9,distance,2,44,0.5116828683697234,0.5571428571428572
313,9,uniform,1,46,0.43940767172672146,0.4922077922077922
314,9,uniform,2,46,0.4372541513765963,0.4896103896103896
315,9,distance,1,46,0.5230210203519976,0.5727272727272728
316,9,distance,2,46,0.5116828683697234,0.5571428571428572
317,9,uniform,1,48,0.43940767172672146,0.4922077922077922
318,9,uniform,2,48,0.4372541513765963,0.4896103896103896
319,9,distance,1,48,0.5230210203519976,0.5727272727272728
320,9,distance,2,48,0.5116828683697234,0.5571428571428572
321,11,uniform,1,10,0.42859488361967363,0.4831168831168831
322,11,uniform,2,10,0.42686130171328845,0.474025974025974
323,11,distance,1,10,0.5190840884333264,0.5805194805194805
324,11,distance,2,10,0.5073557299195357,0.5675324675324676
325,11,uniform,1,12,0.42859488361967363,0.4831168831168831
326,11,uniform,2,12,0.42686130171328845,0.474025974025974
327,11,distance,1,12,0.5190840884333264,0.5805194805194805
328,11,distance,2,12,0.5073557299195357,0.5675324675324676
329,11,uniform,1,14,0.42859488361967363,0.4831168831168831
330,11,uniform,2,14,0.42686130171328845,0.474025974025974
331,11,distance,1,14,0.5190840884333264,0.5805194805194805
332,11,distance,2,14,0.5073557299195357,0.5675324675324676
333,11,uniform,1,16,0.4189986174557184,0.4766233766233766
334,11,uniform,2,16,0.4177154859997837,0.4701298701298701
335,11,distance,1,16,0.5172965826080975,0.5805194805194805
336,11,distance,2,16,0.5055870479780505,0.5623376623376624
337,11,uniform,1,18,0.4189986174557184,0.4766233766233766
338,11,uniform,2,18,0.4177154859997837,0.4701298701298701
339,11,distance,1,18,0.5172965826080975,0.5805194805194805
340,11,distance,2,18,0.5055870479780505,0.5623376623376624
341,11,uniform,1,20,0.4189986174557184,0.4766233766233766
342,11,uniform,2,20,0.4177154859997837,0.4701298701298701
343,11,distance,1,20,0.5172965826080975,0.5805194805194805
344,11,distance,2,20,0.5055870479780505,0.5623376623376624
345,11,uniform,1,22,0.4189986174557184,0.4766233766233766
346,11,uniform,2,22,0.4177154859997837,0.4701298701298701
347,11,distance,1,22,0.5172965826080975,0.5805194805194805
348,11,distance,2,22,0.5055870479780505,0.5623376623376624
349,11,uniform,1,24,0.4189986174557184,0.4766233766233766
350,11,uniform,2,24,0.4177154859997837,0.4701298701298701
351,11,distance,1,24,0.5172965826080975,0.5805194805194805
352,11,distance,2,24,0.5055870479780505,0.5623376623376624
353,11,uniform,1,26,0.4189986174557184,0.4766233766233766
354,11,uniform,2,26,0.4177154859997837,0.4701298701298701
355,11,distance,1,26,0.5172965826080975,0.5805194805194805
356,11,distance,2,26,0.5055870479780505,0.5623376623376624
357,11,uniform,1,28,0.4189986174557184,0.4766233766233766
358,11,uniform,2,28,0.4177154859997837,0.4701298701298701
359,11,distance,1,28,0.5172965826080975,0.5805194805194805
360,11,distance,2,28,0.5055870479780505,0.5623376623376624
361,11,uniform,1,30,0.41072143157522534,0.4623376623376623
362,11,uniform,2,30,0.40812348476842847,0.45324675324675323
363,11,distance,1,30,0.5094958817152824,0.5714285714285714
364,11,distance,2,30,0.5012312708740895,0.5584415584415584
365,11,uniform,1,32,0.41072143157522534,0.4623376623376623
366,11,uniform,2,32,0.40812348476842847,0.45324675324675323
367,11,distance,1,32,0.5094958817152824,0.5714285714285714
368,11,distance,2,32,0.5012312708740895,0.5584415584415584
369,11,uniform,1,34,0.41072143157522534,0.4623376623376623
370,11,uniform,2,34,0.40812348476842847,0.45324675324675323
371,11,distance,1,34,0.5094958817152824,0.5714285714285714
372,11,distance,2,34,0.5012312708740895,0.5584415584415584
373,11,uniform,1,36,0.41072143157522534,0.4623376623376623
374,11,uniform,2,36,0.40812348476842847,0.45324675324675323
375,11,distance,1,36,0.5094958817152824,0.5714285714285714
376,11,distance,2,36,0.5012312708740895,0.5584415584415584
377,11,uniform,1,38,0.41072143157522534,0.4623376623376623
378,11,uniform,2,38,0.40812348476842847,0.45324675324675323
